,True,LSTM_prediction,Loss_LSTM
564,0.9173,0.94308174,
565,0.9153,0.94059634,
566,0.91,0.9383228,
567,0.9083,0.9356867,
568,0.9042,0.9338907,
569,0.903,0.93105674,
570,0.8987,0.9294932,
571,0.8976,0.9275347,
572,0.8934,0.92560184,
573,0.8973,0.9222084,
574,0.8992,0.922102,
575,0.9001,0.92128,
576,0.8965,0.92690694,
577,0.8937,0.925328,
578,0.8989,0.92229533,
579,0.8988,0.9235815,
580,0.9026,0.9240521,
581,0.8996,0.92717373,
582,0.9015,0.92779803,
583,0.9029,0.9263874,
584,0.9014,0.92825687,
585,0.899,0.92809093,
586,0.8973,0.9262291,
587,0.8981,0.925166,
588,0.8974,0.92210793,
589,0.8962,0.92287445,
590,0.8947,0.9242774,
591,0.8973,0.9231956,
592,0.9023,0.9214159,
593,0.8992,0.9233476,
594,0.9017,0.927405,
595,0.9021,0.92690885,
596,0.9038,0.9284836,
597,0.9022,0.92850125,
598,0.9057,0.92906415,
599,0.9074,0.92875874,
600,0.9145,0.9319184,
601,0.9093,0.933836,
602,0.9094,0.93416154,
603,0.9079999999999999,0.9322523,
604,0.9014,0.9326414,
605,0.8973,0.92889905,
606,0.8978,0.9257691,
607,0.9003,0.92573035,
608,0.8953,0.9259852,
609,0.8955,0.92460513,
610,0.8957,0.9234799,
611,0.8941,0.9233272,
612,0.8864,0.9218445,
613,0.8935,0.91818666,
614,0.8996,0.9164562,
615,0.9006,0.9230784,
616,0.8958,0.92653203,
617,0.8965,0.92478454,
618,0.8966,0.9240581,
619,0.8988,0.9243703,
620,0.897,0.92474484,
621,0.8971,0.9255949,
622,0.8922,0.92209506,
623,0.8925,0.9215815,
624,0.8968,0.91881084,
625,0.9,0.9222561,
626,0.899,0.9249568,
627,0.898,0.92638946,
628,0.8959,0.92559993,
629,0.8913,0.9240539,
630,0.8909,0.92114973,
631,0.8929,0.92003167,
632,0.8984,0.9203316,
633,0.9083,0.922431,
634,0.9076,0.92702997,
635,0.9088,0.9324738,
636,0.9055,0.93321824,
637,0.9069,0.93162704,
638,0.9079,0.9316329,
639,0.9089,0.9322401,
640,0.9073,0.93249464,
641,0.9063,0.9322132,
642,0.9058,0.9317075,
643,0.9061,0.93083155,
644,0.8993,0.9310305,
645,0.9019,0.92707014,
646,0.8994,0.9264549,
647,0.9058,0.9268167,
648,0.9046,0.9266093,
649,0.9017,0.9309107,
650,0.9024,0.92901254,
651,0.9016,0.9278166,
652,0.9009,0.92840827,
653,0.9001,0.92833817,
654,0.8986,0.9270278,
655,0.9072,0.9259609,
656,0.9102,0.92714465,
657,0.9041,0.9333205,
658,0.9005,0.9314681,
659,0.9069,0.92684174,
660,0.9041,0.92874455,
661,0.9017,0.930459,
