Date,Close,Predictions
2014-04-24,171.88,169.71735
2014-04-25,171.59,169.85152
2014-04-28,172.21,169.93987
2014-04-29,172.71,170.03288
2014-04-30,172.46,170.15414
2014-05-01,172.79,170.26906
2014-05-02,172.41,170.39424
2014-05-05,172.28,170.4927
2014-05-06,172.56,170.55957
2014-05-07,172.74,170.61992
2014-05-08,172.03,170.68343
2014-05-09,171.44,170.6988
2014-05-12,172.2,170.6452
2014-05-13,172.02,170.60074
2014-05-14,170.76,170.55258
2014-05-15,170.52,170.42451
2014-05-16,170.7,170.24005
2014-05-19,170.66,170.04338
2014-05-20,170.59,169.84941
2014-05-21,171.25,169.66615
2014-05-22,171.55,169.54501
2014-05-23,171.62,169.49063
2014-05-27,171.38,169.48717
2014-05-28,170.15,169.50095
2014-05-29,170.12,169.44531
2014-05-30,170.42,169.34769
2014-06-02,171.41,169.24815
2014-06-03,171.64,169.21739
2014-06-04,171.94,169.24681
2014-06-05,172.26,169.3325
2014-06-06,172.2,169.46896
2014-06-09,172.23,169.62447
2014-06-10,171.46,169.78352
2014-06-11,171.3,169.8839
2014-06-12,172.15,169.93005
2014-06-13,172.88,169.99295
2014-06-16,172.91,170.10861
2014-06-17,173.21,170.2521
2014-06-18,173.15,170.42381
2014-06-19,173.67,170.59798
2014-06-20,173.69,170.79588
2014-06-23,173.57,170.9963
2014-06-24,173.15,171.17725
2014-06-25,172.95,171.30641
2014-06-26,173.11,171.38112
2014-06-27,172.85,171.42644
2014-06-30,173.31,171.43297
2014-07-01,174.1,171.4448
2014-07-02,174.65,171.51028
2014-07-03,175.27,171.6412
2014-07-07,174.46,171.84561
2014-07-08,173.98,172.03043
2014-07-09,174.33,172.16014
2014-07-10,173.61,172.2685
2014-07-11,173.44,172.3082
2014-07-14,173.6,172.2912
2014-07-15,174.29,172.24951
2014-07-16,174.24,172.23972
2014-07-17,172.98,172.24748
2014-07-18,173.11,172.18486
2014-07-21,173.07,172.09155
2014-07-22,173.08,171.98167
2014-07-23,172.96,171.86938
2014-07-24,172.89,171.75551
2014-07-25,172.85,171.64409
2014-07-28,172.95,171.53932
2014-07-29,173.0,171.4524
2014-07-30,173.82,171.38585
2014-07-31,173.56,171.38998
2014-08-01,172.57,171.42122
2014-08-04,172.95,171.40396
2014-08-05,173.22,171.3822
2014-08-06,172.04,171.37534
2014-08-07,171.81,171.30154
2014-08-08,171.12,171.17633
2014-08-11,171.54,170.98167
2014-08-12,171.83,170.78352
2014-08-13,170.89,170.6147
2014-08-14,170.93,170.4153
2014-08-15,170.85,170.21378
2014-08-18,171.55,170.01895
2014-08-19,170.96,169.88675
2014-08-20,172.13,169.76465
2014-08-21,172.2,169.73366
2014-08-22,172.12,169.76596
2014-08-25,172.47,169.83157
2014-08-26,172.1,169.93651
2014-08-27,172.13,170.03471
2014-08-28,172.05,170.12395
2014-08-29,172.67,170.19565
2014-09-02,173.0,170.2912
2014-09-03,172.49,170.41617
2014-09-04,171.89,170.51848
2014-09-05,171.6,170.56126
2014-09-08,170.75,170.54466
2014-09-09,171.01,170.43617
2014-09-10,173.19,170.29385
2014-09-11,173.8,170.28017
2014-09-12,174.56,170.38754
2014-09-15,173.96,170.61539
2014-09-16,174.28,170.86597
2014-09-17,176.29,171.1357
2014-09-18,178.18,171.5289
2014-09-19,177.59,172.09515
2014-09-22,178.01,172.6944
2014-09-23,178.37,173.30313
2014-09-24,178.18,173.89922
2014-09-25,177.38,174.43382
2014-09-26,177.47,174.84076
2014-09-29,177.76,175.14528
2014-09-30,177.73,175.38254
2014-10-01,176.22,175.5591
2014-10-02,175.01,175.58713
2014-10-03,175.26,175.44202
2014-10-06,174.89,175.2142
2014-10-07,173.84,174.92477
2014-10-08,174.81,174.54861
2014-10-09,173.75,174.20804
2014-10-10,173.04,173.84332
2014-10-13,171.83,173.44397
2014-10-14,170.21,172.9716
2014-10-15,169.71,172.38043
2014-10-16,171.08,171.72223
2014-10-17,171.91,171.1542
2014-10-20,172.8,170.73415
2014-10-21,172.31,170.49461
2014-10-22,171.92,170.35452
2014-10-23,173.49,170.26266
2014-10-24,173.92,170.30861
2014-10-27,173.75,170.46451
2014-10-28,174.41,170.6684
2014-10-29,174.39,170.93152
2014-10-30,174.68,171.2118
2014-10-31,179.66,171.50241
2014-11-03,182.07,172.10297
2014-11-04,181.79,173.01361
2014-11-05,183.11,174.04335
2014-11-06,182.28,175.16792
2014-11-07,181.72,176.22038
2014-11-10,181.87,177.11905
2014-11-11,184.15,177.86781
2014-11-12,182.24,178.61961
2014-11-13,181.81,179.19377
2014-11-14,182.24,179.59187
2014-11-17,182.42,179.87988
2014-11-18,182.69,180.09032
2014-11-19,185.03,180.25618
2014-11-20,185.42,180.53859
2014-11-21,184.41,180.90042
2014-11-24,185.72,181.22334
2014-11-25,185.24,181.58896
2014-11-26,185.84,181.92299
2014-11-28,185.53,182.25543
2014-12-01,186.2,182.54268
2014-12-02,186.44,182.82703
2014-12-03,187.86,183.10529
2014-12-04,187.67,183.45557
2014-12-05,189.17,183.81372
